disaster,matching_keywords
arrest,"breaking arrest, arrest"
attack,"terror attack, attack"
blast,blast
bomb,"bombing, bombings saddened, bombing investigation, bombings reports, bombing witnesses, bombing shot, bombing victims, seconds bombing, bombing case, bombing suspect, bomber, suspect bombing"
buried,"buried, buried alive"
fire,"fire explosion, firefighters, fire flood, fire fighters, bushfire, firefighters police, lurches fire, explosion fire"
casualties,casualties
crisis,"crisis rises, crisis worsens, crisis deepens, flood crisis, crisis unfolds, crisis, crisis found"
damage,"damage, tornado damage, communities damaged, damaged hurricane, flood damage"
death,"cost deaths, deaths confirmed, death toll, flood death, deepens death, death, peaks deaths"
destroyed,destroyed
destruction,destruction
emergency,"emergency, flood emergency"
evacuated,evacuated
evacuees,evacuees
explosion,"explosion fertiliser, terrible explosion, victims explosion, major explosion, reported explosion, explosion injured, explosion voted, following explosion, explosion fire, explosion ripped, died explosions, missing explosion, fire explosion, video explosion, dead explosion, huge explosion, deadly explosion, explosion reported, explosion video, massive explosion, affected explosion, explosion registered, explosions running, another explosion, explosion caught, explosion victims, fertilizer explosion, explosion, marathon explosions, injured explosion, large explosion"
fatalities,fatalities
flood,"affected flooding, toxins flood, flood tornado, floods kill, flood homeowners, counts flood, help flood, flood disaster, flood, flood hits, opposed flood, major flood, flood worsens, flood relief, flood toll, morning flood, flood peak, visiting flood, flood death, flood affected, flood ravaged, surging floods, flood cost, tornado flood, flash flood, teenager floods, facing flood, flood crisis, fire flood, flood powerful, flood threat, dead floods, flood years, flood situation, hoisted flood, flood alerts, flood victims, flood claims, flood waters, floods force, house flood, floodwaters, severe flooding, flood recovery, missing flood, flood levy, flood warnings, flood emergency, flood appeal, news flood, photos flood, flood damage"
hurricane,"brought hurricane, hurricane coming, name hurricane, path hurricane, prepare hurricane, waiting hurricane, coast hurricane, affected hurricane, safe hurricane, saying hurricane, dealing hurricane, hurricane category, hurricane, terrified hurricane, dying hurricane, hurricane black, lives hurricane, time hurricane, watch hurricane, damaged hurricane, effected hurricane"
imminent,imminent
injured,"reported injured, explosion injured, people injured, dead injured, killed injured, injured, injured explosion, hundreds injured"
injuries,"injuries reported, injuries"
inundated,"inundated, homes inundated"
landfall,landfall
military,military
nursing,nursing
ravaged,"flood ravaged, ravaged"
recede,"waters recede, recede"
rescue,"amazing rescue, rescue women, rescue teenager, daring rescue, rescue, rescuers help, rescuers"
rescuers,"rescuers help, rescuers"
safety,"safety, public safety"
seismic,seismic
soldier,"unknown soldier, soldier"
storm,"storms amazing, powerful storms, storm"
surviving,surviving
survivor,"survivor finds, tornado survivor, survivor"
terror,"terror attack, terror"
tornado,"cross tornado, affected tornado, donate tornado, flood tornado, deadly tornado, help tornado, tornado, tornado damage, tornado disaster, tornado victims, tornado relief, massive tornado, tornado survivor, city tornado, tornado flood, devastating tornado"
torrential,"torrential rains, dead torrential, torrential"
toxins,"toxins, release toxins, toxins flood"
tragedy,tragedy
tragic,"tragic, tragic events"
troops,"troops lend, troops"
twister,twister
victims,"victims lost, prayers victims, thoughts victims, help victims, tornado victims, praying victims, victims explosion, donated victims, victims waters, flood victims, victims donate, explosion victims, victims, bombing victims"
